date	close
25-Jun-08	177.39
26-Jun-08	168.26
27-Jun-08	170.09
30-Jun-08	167.44
1-Jul-08	174.68
2-Jul-08	168.18
3-Jul-08	170.12
7-Jul-08	175.16
8-Jul-08	179.55
9-Jul-08	174.25
10-Jul-08	176.63
11-Jul-08	172.58
14-Jul-08	173.88
15-Jul-08	169.64
16-Jul-08	172.81
17-Jul-08	171.81
31-Oct-08	107.59
3-Nov-08	106.96
4-Nov-08	110.99
5-Nov-08	103.30
6-Nov-08	99.10
7-Nov-08	98.24
10-Nov-08	95.88
11-Nov-08	94.77
12-Nov-08	90.12
13-Nov-08	96.44
14-Nov-08	90.24
17-Nov-08	88.14
18-Nov-08	89.91
19-Nov-08	86.29
20-Nov-08	80.49
21-Nov-08	82.58
24-Nov-08	92.95
25-Nov-08	90.80
26-Nov-08	95.00
27-Nov-08	95.00
28-Nov-08	92.67
1-Dec-08	88.93
2-Dec-08	92.47
3-Dec-08	95.90
4-Dec-08	91.41
5-Dec-08	94.00
8-Dec-08	99.72
9-Dec-08	100.06
10-Dec-08	98.21
11-Dec-08	95.00
12-Dec-08	98.27
15-Dec-08	94.75
16-Dec-08	95.43
17-Dec-08	89.16
18-Dec-08	89.43
19-Dec-08	90.00
22-Dec-08	85.74
23-Dec-08	86.38
24-Dec-08	85.04
25-Dec-08	85.04
26-Dec-08	85.81
29-Dec-08	86.61
30-Dec-08	86.29
31-Dec-08	85.35
1-Jan-09	85.35
2-Jan-09	90.75
5-Jan-09	94.58
6-Jan-09	93.02
7-Jan-09	91.01
8-Jan-09	92.70
9-Jan-09	90.58
12-Jan-09	88.66
13-Jan-09	87.71
14-Jan-09	85.33
15-Jan-09	83.38
16-Jan-09	82.33
20-Jan-09	78.20
21-Jan-09	82.83
22-Jan-09	88.36
23-Jan-09	88.36
26-Jan-09	89.64
27-Jan-09	90.73
28-Jan-09	94.20
29-Jan-09	93.00
30-Jan-09	90.13
2-Feb-09	91.51
3-Feb-09	92.98
4-Feb-09	93.55
5-Feb-09	96.46
6-Feb-09	99.72
9-Feb-09	102.51
10-Feb-09	97.83
11-Feb-09	96.82
12-Feb-09	99.27
13-Feb-09	99.16
17-Feb-09	94.53
18-Feb-09	94.37
19-Feb-09	90.64
20-Feb-09	91.20
23-Feb-09	86.95
24-Feb-09	90.25
25-Feb-09	91.16
26-Feb-09	89.19
27-Feb-09	89.31
2-Mar-09	87.94
3-Mar-09	88.37
4-Mar-09	91.17
5-Mar-09	88.84
6-Mar-09	85.30
9-Mar-09	83.11
10-Mar-09	88.63
11-Mar-09	92.68
12-Mar-09	96.35
13-Mar-09	95.93
16-Mar-09	95.42
17-Mar-09	99.66
18-Mar-09	101.52
19-Mar-09	101.62
20-Mar-09	101.59
23-Mar-09	107.66
24-Mar-09	106.50
25-Mar-09	106.49
26-Mar-09	109.87
27-Mar-09	106.85
30-Mar-09	104.49
31-Mar-09	105.12
1-Apr-09	108.69
2-Apr-09	112.71
3-Apr-09	115.99
6-Apr-09	118.45
7-Apr-09	115.00
8-Apr-09	116.32
9-Apr-09	119.57
10-Apr-09	119.57
13-Apr-09	120.22
14-Apr-09	118.31
15-Apr-09	117.64
16-Apr-09	121.45
17-Apr-09	123.42
20-Apr-09	120.50
21-Apr-09	121.76
22-Apr-09	121.51
23-Apr-09	125.40
24-Apr-09	123.90
27-Apr-09	124.73
28-Apr-09	123.90
29-Apr-09	125.14
30-Apr-09	125.83
1-May-09	127.24
4-May-09	132.07
5-May-09	132.71
6-May-09	132.50
7-May-09	129.06
8-May-09	129.19
11-May-09	129.57
12-May-09	124.42
13-May-09	119.49
14-May-09	122.95
15-May-09	122.42
18-May-09	126.65
19-May-09	127.45
20-May-09	125.87
21-May-09	124.18
22-May-09	122.50
26-May-09	130.78
27-May-09	133.05
28-May-09	135.07
29-May-09	135.81
1-Jun-09	139.35
2-Jun-09	139.49
3-Jun-09	140.95
4-Jun-09	143.74
5-Jun-09	144.67
8-Jun-09	143.85
9-Jun-09	142.72
10-Jun-09	140.25
11-Jun-09	139.95
12-Jun-09	136.97
15-Jun-09	136.09
16-Jun-09	136.35
17-Jun-09	135.58
18-Jun-09	135.88
19-Jun-09	139.48
22-Jun-09	137.37
23-Jun-09	134.01
24-Jun-09	136.22
25-Jun-09	139.86
26-Jun-09	142.44
29-Jun-09	141.97
30-Jun-09	142.43
1-Jul-09	142.83
2-Jul-09	140.02
3-Jul-09	140.02
6-Jul-09	138.61
7-Jul-09	135.40
8-Jul-09	137.22
9-Jul-09	136.36
10-Jul-09	138.52
13-Jul-09	142.34
14-Jul-09	142.27
15-Jul-09	146.88
16-Jul-09	147.52
17-Jul-09	151.75
20-Jul-09	152.91
21-Jul-09	151.51
22-Jul-09	156.74
23-Jul-09	157.82
24-Jul-09	159.99
27-Jul-09	160.10
28-Jul-09	160.00
29-Jul-09	160.03
30-Jul-09	162.79
31-Jul-09	163.39
3-Aug-09	166.43
4-Aug-09	165.55
5-Aug-09	165.11
6-Aug-09	163.91
7-Aug-09	165.51
10-Aug-09	164.72
12-Aug-09	165.31
13-Aug-09	168.42
14-Aug-09	166.78
17-Aug-09	159.59
18-Aug-09	164.00
19-Aug-09	164.60
20-Aug-09	166.33
21-Aug-09	169.22
24-Aug-09	169.06
25-Aug-09	169.40
26-Aug-09	167.41
27-Aug-09	169.45
28-Aug-09	170.05
31-Aug-09	168.21
1-Sep-09	165.30
2-Sep-09	165.18
3-Sep-09	166.55
4-Sep-09	170.31
8-Sep-09	172.93
9-Sep-09	171.14
10-Sep-09	172.56
11-Sep-09	172.16
14-Sep-09	173.72
15-Sep-09	175.16
16-Sep-09	181.87
17-Sep-09	184.55
18-Sep-09	185.02
21-Sep-09	184.02
22-Sep-09	184.48
23-Sep-09	185.50
24-Sep-09	183.82
25-Sep-09	182.37
28-Sep-09	186.15
29-Sep-09	185.38
30-Sep-09	185.35
1-Oct-09	180.86
2-Oct-09	184.90
5-Oct-09	186.02
6-Oct-09	190.01
7-Oct-09	190.25
8-Oct-09	189.27
9-Oct-09	190.47
12-Oct-09	190.81
13-Oct-09	190.02
14-Oct-09	191.29
15-Oct-09	190.56
16-Oct-09	188.05
19-Oct-09	189.86
20-Oct-09	198.76
21-Oct-09	204.92
22-Oct-09	205.20
23-Oct-09	203.94
26-Oct-09	202.48
27-Oct-09	197.37
28-Oct-09	192.40
29-Oct-09	196.35
30-Oct-09	188.50
2-Nov-09	189.31
3-Nov-09	188.75
4-Nov-09	190.81
5-Nov-09	194.03
6-Nov-09	194.34
9-Nov-09	201.46
10-Nov-09	202.98
11-Nov-09	203.25
12-Nov-09	201.99
13-Nov-09	204.45
16-Nov-09	206.63
17-Nov-09	207.00
18-Nov-09	205.96
19-Nov-09	200.51
20-Nov-09	199.92
23-Nov-09	205.88
24-Nov-09	204.44
25-Nov-09	204.19
26-Nov-09	204.19
27-Nov-09	200.59
30-Nov-09	199.91
1-Dec-09	196.97
2-Dec-09	196.23
3-Dec-09	196.48
4-Dec-09	193.32
7-Dec-09	188.95
8-Dec-09	189.87
9-Dec-09	197.80
10-Dec-09	196.43
11-Dec-09	194.67
14-Dec-09	196.98
15-Dec-09	194.17
16-Dec-09	195.03
17-Dec-09	191.86
18-Dec-09	195.43
21-Dec-09	198.23
22-Dec-09	200.36
23-Dec-09	202.10
24-Dec-09	209.04
25-Dec-09	209.04
28-Dec-09	211.61
29-Dec-09	209.10
30-Dec-09	211.64
31-Dec-09	210.73
1-Jan-10	210.73
4-Jan-10	214.01
6-Sep-11	379.74
7-Sep-11	383.93
8-Sep-11	384.14
9-Sep-11	377.48
12-Sep-11	379.94
13-Sep-11	384.62
14-Sep-11	389.30
15-Sep-11	392.96
16-Sep-11	400.50
19-Sep-11	411.63
20-Sep-11	413.45
21-Sep-11	412.14
22-Sep-11	401.82
23-Sep-11	404.30
26-Sep-11	403.17
27-Sep-11	399.26
28-Sep-11	397.01
29-Sep-11	390.57
30-Sep-11	381.32
3-Oct-11	374.60
4-Oct-11	372.50
5-Oct-11	378.25
6-Oct-11	377.37
7-Oct-11	369.80
10-Oct-11	388.81
11-Oct-11	400.29
12-Oct-11	402.19
13-Oct-11	408.43
14-Oct-11	422.00
17-Oct-11	419.99
18-Oct-11	422.24
19-Oct-11	398.62
20-Oct-11	395.31
21-Oct-11	392.87
24-Oct-11	405.77
25-Oct-11	397.77
26-Oct-11	400.60
27-Oct-11	404.69
28-Oct-11	404.95
31-Oct-11	404.78
1-Nov-11	396.51
2-Nov-11	397.41
3-Nov-11	403.07
4-Nov-11	400.24
7-Nov-11	399.73
8-Nov-11	406.23
9-Nov-11	395.28
10-Nov-11	385.22
11-Nov-11	384.62
14-Nov-11	379.26
15-Nov-11	388.83
16-Nov-11	384.77
17-Nov-11	377.41
18-Nov-11	374.94
21-Nov-11	369.01
22-Nov-11	376.51
23-Nov-11	366.99
25-Nov-11	363.57
28-Nov-11	376.12
29-Nov-11	373.20
30-Nov-11	382.20
1-Dec-11	387.93
2-Dec-11	389.70
5-Dec-11	393.01
6-Dec-11	390.95
7-Dec-11	389.09
8-Dec-11	390.66
9-Dec-11	393.62
12-Dec-11	391.84
13-Dec-11	388.81
14-Dec-11	380.19
15-Dec-11	378.94
16-Dec-11	381.02
19-Dec-11	382.21
20-Dec-11	395.95
21-Dec-11	396.44
22-Dec-11	398.55
23-Dec-11	403.43
27-Dec-11	406.53
28-Dec-11	402.64
29-Dec-11	405.12
30-Dec-11	405.00
3-Jan-12	411.23
4-Jan-12	413.44
5-Jan-12	418.03
6-Jan-12	422.40
9-Jan-12	421.73
10-Jan-12	423.24
11-Jan-12	422.55
12-Jan-12	421.39
13-Jan-12	419.81
17-Jan-12	424.70
18-Jan-12	429.11
19-Jan-12	427.75
20-Jan-12	420.30
23-Jan-12	427.41
24-Jan-12	420.41
25-Jan-12	446.66
26-Jan-12	444.63
27-Jan-12	447.28
30-Jan-12	453.01
31-Jan-12	456.48
1-Feb-12	456.19
2-Feb-12	455.12
3-Feb-12	459.68
6-Feb-12	463.97
7-Feb-12	468.83
8-Feb-12	476.68
9-Feb-12	493.17
10-Feb-12	493.42
13-Feb-12	502.60
14-Feb-12	509.46
15-Feb-12	497.67
16-Feb-12	502.21
17-Feb-12	502.12
21-Feb-12	514.85
22-Feb-12	513.04
23-Feb-12	516.39
24-Feb-12	522.41
27-Feb-12	525.76
28-Feb-12	535.41
29-Feb-12	542.44
1-Mar-12	544.47
2-Mar-12	545.18
5-Mar-12	533.16
6-Mar-12	530.26
7-Mar-12	530.69
8-Mar-12	541.99
9-Mar-12	545.17
12-Mar-12	552.00
13-Mar-12	568.10
14-Mar-12	589.58
15-Mar-12	585.56
16-Mar-12	585.57
19-Mar-12	601.10
20-Mar-12	605.96
21-Mar-12	602.50
22-Mar-12	599.34
23-Mar-12	596.05
26-Mar-12	606.98
27-Mar-12	614.48
28-Mar-12	617.62
29-Mar-12	609.86
30-Mar-12	599.55
2-Apr-12	618.63
3-Apr-12	629.32
4-Apr-12	624.31
5-Apr-12	633.68
9-Apr-12	636.23
10-Apr-12	628.44
11-Apr-12	626.20
12-Apr-12	622.77
13-Apr-12	605.23
16-Apr-12	580.13
17-Apr-12	609.70
18-Apr-12	608.34
19-Apr-12	587.44
20-Apr-12	572.98
23-Apr-12	571.70
24-Apr-12	560.28
25-Apr-12	610.00
26-Apr-12	607.70
27-Apr-12	603.00
30-Apr-12	583.98
1-May-12	582.13
